,Title,Description,Date Created,Origin,Author,Recipient,Year,Month,Day
117,"Letter from J. R. Burden to Thomas P. Cope, 1832 January 13",,1832-01-13,,"Author (aut): Burden, Jesse R., 1797-1876","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-185",1832,1,13
118,"1832 January 13, Woodbourne, to Dear Brother, Philadelphia (Pa.)",,1832-01-13,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865",1832,1,13
119,"Letter from Thomas Pim Cope to Jesse Burden, 1832 January 18",,1832-01-18,Philadelphia (Pa.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Burden, Jesse R., 1797-1875",1832,1,18
120,"Letter from J. R. Burden to Thomas P. Cope, 1832 January 20",,1832-01-20,Harrisburg (Pa.),"Author (aut): Burden, Jesse R., 1797-1875",,1832,1,20
121,"Letter from J. R. Burden to Thomas P. Cope, 1832 February 2",,1832-02-02,Harrisburg (Pa.),"Author (aut): Burden, Jesse R., 1797-1875",,1832,2,2
122,"Letter from J. R. Burden to Thomas P. Cope, 1832 February 4",,1832-02-04,,"Author (aut): Burden, Jesse R., 1797-1875",,1832,2,4
123,"1832 February 6, Philadelphia, to dear Uncle",,1832-02-06,Philadelphia (Pa.),"Author (aut): Thomas, John D.","Addressee (rcp): Drinker, Joseph D., 1796-1881",1832,2,6
124,"Letter from Thomas P. Cope to J. R. Burden, 1832 February 8",,1832-02-08,Philadelphia (Pa.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Burden, Jesse R., 1797-1875",1832,2,8
125,"Letter from J. R. Burden to Thomas P. Cope, 1832 February 10",,1832-02-10,Harrisburg (Pa.),"Author (aut): Burden, Jesse R., 1797-1875",,1832,2,10
126,"1832 February 15, Woodbourne, to Dear Brother, Philadelphia",,1832-02-15,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865",1832,2,15
127,"Letter from J. R. Burden to Thomas P. Cope, 1832 February 18",,1832-02-18,Harrisburg (Pa.),"Author (aut): Burden, Jesse R., 1797-1875",,1832,2,18
128,"Letter from G. F. Mercer to Thomas P. Cope, 1832 March 25",,1832-03-25,Washington (D.C.),"Author (aut): Mercer, G. F.",,1832,3,25
129,"Letter from J. R. Burden to Thomas P. Cope, 1832 March 26",,1832-03-26,Harrisburg (Pa.),"Author (aut): Burden, Jesse R., 1797-1875",,1832,3,26
130,"Letter from J. Harvey to Thomas P. Cope, 1832 May 1",,1832-05-01,New York (N.Y.),"Author (aut): Harvey, J.",,1832,5,1
131,"1832 August 18, Covington, to Dear Cousin",,1832-08-18,Luzerne County (Pa.),"Author (aut): Drinker, Richard",,1832,8,18
132,"1832 October 24, Philadelphia, to S.","Drafts of two letters to Susan Newbold (later Cope)--dated October 24 & November 7, 1832.",1832-10-24,Philadelphia (Pa.),"Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Susan L. Newbold, 1805-1872",1832,10,24
133,"Letter from William Cope to Robert Thompson, 1832 November 6",,1832-11-06,,"Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Thompson, Robert",1832,11,6
134,"1832 November 27, Philadelphia, to S.",Draft of letter to Susan Newbold (later Cope).,1832-11-27,Philadelphia (Pa.),"Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Susan L. Newbold, 1805-1872",1832,11,27
135,"1832 November 30, Philadelphia, to Mother",Note in another hand: R.R.C. to her mother Ruth Reeve Mbr,1832-11-30,Philadelphia (Pa.),"Author (aut): Cope, Rachel Reeve, 1794-1863","Addressee (rcp): Reeve, Ruth, 1764-1845",1832,11,30
136,"1832 December 4, Woodbourne, to My Dear Nephew, Philadelphia (Pa.)",William D. Cope describes sending these words to his nephew Thomas Pim Cope in a subsequent letter (hsc5005).,1832-12-04,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Thomas Pim, 1823-1900",1832,12,4
137,"1832 December 9, Woodbourne, to Dear Brother, Philadelphia",,1832-12-09,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865",1832,12,9
138,"1832 December 10, Middletown, to Henry Cope, Philadelphia",,1832-12-10,"Middletown (Delaware County, Pa. : Township)","Author (aut): Reeve, John","Addressee (rcp): Cope, Henry, 1793-1865",1832,12,10
139,"Letter from C. F. Bagge to Thomas P. Cope, 1833 February 5",,1833-02-05,"Salem (Winston-Salem, N.C.)",,,1833,2,5
140,"Letter from Jonathan Boorman to Thomas P. Cope, 1833 February 16",,1833-02-16,New York (N.Y.),"Author (aut): Boorman, Jonathan",,1833,2,16
141,"1833 March 3, Woodbourne, to Dear Brother, Philadelphia",,1833-03-03,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865",1833,3,3
142,"Letter from C. F. Bagge to Thomas P. Cope, 1833 March 4",,1833-03-04,"Salem (Winston-Salem, N.C.)","Author (aut): Bagge, C. F.",,1833,3,4
143,"Letter from C. F. Bagge to Thomas P. Cope, 1833 March 5",,1833-03-05,"Salem (Winston-Salem, N.C.)","Author (aut): Bagge, C. F.",,1833,3,5
144,"Letter from C. F. Bagge to Thomas P. Cope, 1833 March 19",,1833-03-19,"Salem (Winston-Salem, N.C.)","Author (aut): Bagge, C. F.",,1833,3,19
145,"1833 March 21, White Cottage, Woodbourne, to Susan Newbold",Draft of letter to Sarah Miller Walker.,1833-03-21,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Walker, Sarah Miller, 1799-1874",1833,3,21
146,"1833 April, Woodbourne, to William D. Cope","Sarah expresses her sadness around the death of her two sisters. Hoping to gauge the sincerity of a ""suggestion"" by William, Sarah asks him to desribe her faults.",1833-04-01,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Walker, Sarah Miller, 1799-1874","Addressee (rcp): Cope, William D. (William Drinker), 1798-1873",1833,4,1
147,"1833 April 25, Woodbourne, to Dear Brother, Philadelphia",,1833-04-25,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865",1833,4,25
148,"1833 May 14, Philadelphia, Dear Brother, Sunbury (Northumberland) PA",,1833-05-14,Philadelphia (Pa.),"Author (aut): Cope, Alfred, 1806-1875","Addressee (rcp): Cope, Henry, 1793-1865",1833,5,14
150,"1833 May 22, Philadelphia, to Dear Brother, Woodbourne, Susquehanna Country, Pa",,1833-05-22,Philadelphia (Pa.),"Author (aut): Cope, Alfred, 1806-1875","Addressee (rcp): Cope, Henry, 1793-1865",1833,5,22
151,"1833 May 25, to My dear Sister","Pencil notations in margins by Elizabeth Stewardson Cope?
""Aunt Martha Pleasants to her sister Rachel R. Cope
May 25th, 1833 - )

x in pencil next to Sister Frances; at bottom of page, in pencil, in another hand, is written: x her sister in law Frances Pleasants Legate

in pencil, in different hand: Describes F.R.C., T.P.C. & M.D.C. as children
allusion to death of John Randolph of Roanoke

Bridgeton is located in Bucks County .

The City Hotel in Philadelphia was located at No. 41 N 3rd Street, and its proprietor was Edmund Badger. Both Badger and Dr. Joseph Parrish served as witnesses at John Randolph's death to ensure that his slaves would be manumitted and provided for as explained in his will. From Joseph Parrish, ""John Randolph, born June 2nd, 1773, died May 24th, 1833: remains removed from Roanoke to Richmond, December 13th, 1879: From the deposition of DrJoseph Parrish in John Randolph's Case"" (Philadelphia: George H. Buchanan, n.d.).",1833-05-25,"Germantown (Philadelphia, Pa.)","Author (aut): Leeds, Martha, 1810?-1888","Addressee (rcp): Cope, Rachel Reeve, 1794-1863",1833,5,25
152,"1833 June 6, Philadelphia, to Dear Frank, Easton Northhampton County Penn",,1833-06-06,Philadelphia (Pa.),"Author (aut): Cope, Alfred, 1806-1875","Addressee (rcp): Cope, Francis Reeve, 1821-1909|Addressee (rcp): Cope, Henry, 1793-1865",1833,6,6
153,"1833 June 7, Philadelphia, to Henry Cope, for Rachel R. Cope, Easton",,1833-06-07,Philadelphia (Pa.),"Author (aut): Yarnall, Caroline R. (Caroline Rachel) Cope, 1802-1881","Addressee (rcp): Cope, Rachel Reeve, 1794-1863|Addressee (rcp): Cope, Henry, 1850-1924",1833,6,7
154,"Letter from John T. Barr to ""Sir,"" 1833 June 14",,1833-06-14,Philadelphia (Pa.),"Author (aut): Barr, John T.",,1833,6,14
155,"1833 June 22, Philadelphia, to S.",Draft of letter to Susan Newbold (later Cope) during courtship.,1833-06-22,Philadelphia (Pa.),"Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Susan L. Newbold, 1805-1872",1833,6,22
156,"1833 July June 25, Bloomsdale, to William D. Cope","Mis-dated July 25, actually written June 25, 1833 .

The letter was written by Susan to William in the year before their marriage, describing the concerns of Susan's regarding William's 7-month withdrawl from correspodence. She is noticably upset about this, but forgives William and ultimately tells him that she hopes they may retain the friendship they had prior, and that she should destroy this letter.",1833-06-25,Bristol (Pa.),"Author (aut): Cope, Susan L. Newbold, 1805-1872","Addressee (rcp): Cope, William D. (William Drinker), 1798-1873",1833,6,25
157,"1833 June 27, Philadelphia, to S.","Draft of letter to Susan Newbold (later Cope).
 Includes partially accurate quotation of the second stanza of William Shakespeare's sonnet, ""The Reconcilement.""",1833-06-27,Philadelphia (Pa.),"Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Susan L. Newbold, 1805-1872",1833,6,27
158,"1833 June 29, Philadelphia, to S.",,1833-06-29,Philadelphia (Pa.),"Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Susan L. Newbold, 1805-1872",1833,6,29
159,"Letter from C. F. Bagge to Thomas P. Cope, 1833 July 2",,1833-07-02,"Salem (Winston-Salem, N.C.)","Author (aut): Bagge, C. F.",,1833,7,2
160,"1833 July 9, Woodbourne, to S.",,1833-07-09,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Susan L. Newbold, 1805-1872",1833,7,9
161,"1833 July 11, Woodbourne",,1833-07-11,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Susan L. Newbold, 1805-1872",1833,7,11
162,"1833 July 19, Philadelphia, to Rachel R. Cope, Deal, N.J.","In the hand of Elizabeth S. Cope:
 ""Letter from Francis R. Cope to his Mother, where he signs himself 'Thy affectionate nephew.' he was 12 yrs. old""",1833-07-19,Philadelphia (Pa.),"Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Rachel Reeve, 1794-1863",1833,7,19
163,"1833 July 19, Philadelphia, to Mother","Letter reports on death and possible suicide of Elizabeth Biddle.
 
 See also Francis R. Cope (b. 1821) to Rachel R. Cope of July 19, 1833 on same subject.",1833-07-19,Philadelphia (Pa.),"Author (aut): Cope, Thomas Pim, 1823-1900","Addressee (rcp): Cope, Rachel Reeve, 1794-1863",1833,7,19
164,"Letter from C. F. Bagge to Thomas P. Cope, 1833 July 22",,1833-07-22,"Salem (Winston-Salem, N.C.)","Author (aut): Bagge, C. F.",,1833,7,22
165,"1833 July 26, Sculltown, to My dear Mother",,1833-07-26,Auburn (N.J.),"Author (aut): Haines, Mary D. (Mary Drinker Cope), 1819-1890",,1833,7,26
166,"1833 July 31, Woodbourne, to Dear Brother, Philadelphia",,1833-07-31,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865",1833,7,31
167,"1833 August 4, Woodbourne, to Dear S.","Contains quote from William Cowper's ""The Task.""",1833-08-04,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Susan L. Newbold, 1805-1872",1833,8,4
168,"1833 August 8, Philadelphia, to Dear Brother, Eatontown N.J.",This is actually two letters. The first is from Alfred Cope to his Brother Henry Cope. The second is from an unidentified Cousin Mary Ann Cope to a Cousin Rachel.,1833-08-08,Philadelphia (Pa.),"Author (aut): Cope, Alfred, 1806-1875","Addressee (rcp): Cope, Henry, 1793-1865",1833,8,8
169,"1833 September 1, Woodbourne, to S.","Johnny Vanderbocker and Lucy Atherton are characters in ""The Village Musician,"" by James Hall, 1793-1868.",1833-09-01,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Susan L. Newbold, 1805-1872",1833,9,1
170,"1833 September 1, to William D. Cope, Woodbourne","""Dorothy Dolittle"" is a pseudonym for an undertermined true author, who chastises William D. Cope on the matter of his poor manners.
 See also William's letters of September 27 & October 20, 1833 for reaction.
 ""Lord Chesterfield"" is Philip Dormer Stanhope, the 4th Earl of Chesterfield, who also often wrote pseudonymously, under the name ""Jeffrey Broadbottom.""",1833-09-01,Philadelphia (Pa.),"Author (aut): Dolittle, Dorothy","Addressee (rcp): Cope, William D. (William Drinker), 1798-1873",1833,9,1
171,"1813 September 13, East Marlborough, to William D Cope, Philadelphia",,1833-09-13,East Marlborough (Pa. : Township),"Author (aut): Baily, Joel","Addressee (rcp): Cope, William D. (William Drinker), 1798-1873",1833,9,13
172,"1833 September 15, Woodbourne, to Dear Brother, Philadelphia",,1833-09-15,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865",1833,9,15
173,"Letter from Coleman Sellers to Thomas P. Cope, 1833 September 23",,1833-09-23,Philadelphia (Pa.),"Author (aut): Sellers, Coleman, 1781-1834",,1833,9,23
174,"1833 September 27, Woodbourne, to S.","Draft of letter to Susan Newbold (later Cope) regarding ""Dorothy Dolittle"" letter of September 1, 1833. See also William D. Cope's of October 20, 1833.
 Watermark on pp.3-4 reads: ""AMIES"".
 Poetry on page 3 from William Cowper's translation of Horace, Book ii. Ode x.",1833-09-27,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Susan L. Newbold, 1805-1872",1833,9,27
175,"1833 October 17, Bloomsdale, to William D. Cope","Susan's reply to Williams of September 27, in which he suggested she may be the true author of critical letter he received from pseudonymous writer ""Dorothy Dolittle.""",1833-10-17,Bristol (Pa.),"Author (aut): Cope, Susan L. Newbold, 1805-1872","Addressee (rcp): Cope, William D. (William Drinker), 1798-1873",1833,10,17
176,"1833 October 28, Woodbourne, to S.","Draft of letter to Susan Newbold (later Cope).
 ""The witty letter"": a reference to the Dorothy Dolittle letter. See also William's response of September 27, 1833.",1833-10-28,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Susan L. Newbold, 1805-1872",1833,10,28
178,"1833 November 5, Philadelphia, to Robert Benson","One of three letters of introduction by Thomas P. Cope on behalf of his son Alfred Cope to English Friends.
 
 See also Thomas P. Cope's letters to William Forster & James Cropper of November 7, 1833.",1833-11-05,Philadelphia (Pa.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Benson, Robert, 1785-1846",1833,11,5
179,"1833 November 7, Philadelphia, to William Forster","One of three letters of introduction by Thomas P. Cope on behalf of his son Alfred Cope to English Friends.
 
 See also Thomas P. Cope's letters to Robert Benson of November 5 & James Cropper of November 7, 1833.",1833-11-07,Philadelphia (Pa.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Forster, William, 1784-1854",1833,11,7
180,"1833 November 7, Philadelphia, to James Cropper","One of three letters of introduction by Thomas P. Cope on behalf of his son Alfred Cope to English Friends.
 
 See also Thomas P. Cope's letters to Robert Benson of November 5 & William Forster of November 7, 1833.",1833-11-07,Philadelphia (Pa.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Cropper, James, 1773-1840",1833,11,7
181,"1833 December 18, Philadelphia, to Uncle",,1833-12-18,Philadelphia (Pa.),"Author (aut): Cope, Thomas Pim, 1823-1900",,1833,12,18
182,"1833 December 22, Bloomsdale, to Wm. D. Cope","Written on the evenings of December 22 and December 23, 1833.

Susan's first response to William's last letter, three weeks prior.

Forwarded on December 29, 1833 from Woodbourne to Philadelphia, care of Henry & Alfred Cope.",1833-12-22,Bristol (Pa.),"Author (aut): Cope, Susan L. Newbold, 1805-1872","Addressee (rcp): Cope, William D. (William Drinker), 1798-1873",1833,12,22
183,"1833 December 27, Philadelphia, to S.",,1833-12-27,Philadelphia (Pa.),"Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Susan L. Newbold, 1805-1872",1833,12,27
184,"1834 January 6, Philadelphia, to Susan","Drafts of two letters from William D. Cope to Susan Newbold (later Cope) from January 6 & 13, 1834.
 William quotes several times the Scottish Romantic poet Robert Burns and the English poet Alexander Pope from memory with some accuracy.",1834-01-06,Philadelphia (Pa.),"Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Susan L. Newbold, 1805-1872",1834,1,6
185,"1834 January 20, Philadelphia, to Dear Susan","Contains drafts of courtship letters dated January 20, 1834 to February 4, 1834.",1834-01-20,Philadelphia (Pa.),"Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Susan L. Newbold, 1805-1872",1834,1,20
186,"1834 January 21, Funchal, Madiera, Dear Brother",,1834-01-21,Funchal (Madeira Islands),"Author (aut): Cope, Alfred, 1806-1875","Addressee (rcp): Cope, William D. (William Drinker), 1798-1873",1834,1,21
187,"1834 January 22, Philada, to Brother",,1834-01-22,Philadelphia (Pa.),"Author (aut): Cope, Henry, 1793-1865","Addressee (rcp): Cope, Alfred, 1806-1875",1834,1,22
188,"1834 January 22, Philadelphia, to Dear Brother, Madeira","Contains description of fire at warehouses owned by ""Morris Waln and the Stacys.""",1834-01-22,Philadelphia (Pa.),"Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Alfred, 1806-1875",1834,1,22
189,"1834 January 31, Philada, to Brother",,1834-01-31,Philadelphia (Pa.),"Author (aut): Cope, Henry, 1793-1865","Addressee (rcp): Cope, Alfred, 1806-1875",1834,1,31
190,"Letter from Thomas McFarlan to the Cope Brothers, 1834 February 8",,1834-02-08,Philadelphia (Pa.),"Author (aut): McFarlan, Thomas",Addressee (rcp): Cope Brothers,1834,2,8
